Symbol,LTP,%,High,Low,Open,Volume,Turnover,Date
NEPSE,374,,374,374,374,0,,31-May-12
NEPSE,391,,391,391,391,0,,03-Jun-12
NEPSE,382,,382,382,382,0,,04-Jun-12
NEPSE,373,,373,373,373,0,,05-Jun-12
NEPSE,366,,366,366,366,0,,06-Jun-12
NEPSE,370,,370,370,370,0,,07-Jun-12
NEPSE,364,,364,364,364,0,,10-Jun-12
NEPSE,366,,366,366,366,0,,11-Jun-12
NEPSE,368,,368,368,368,0,,12-Jun-12
NEPSE,366,,366,366,366,0,,13-Jun-12
NEPSE,365,,365,365,365,0,,14-Jun-12
NEPSE,361,,361,361,361,0,,17-Jun-12
NEPSE,363,,363,363,363,0,,18-Jun-12
NEPSE,362,,362,362,362,0,,19-Jun-12
NEPSE,364,,364,364,364,0,,20-Jun-12
NEPSE,365,,365,365,365,0,,21-Jun-12
NEPSE,375,,375,375,375,0,,25-Jun-12
NEPSE,368,,368,368,368,0,,26-Jun-12
NEPSE,374,,374,374,374,0,,27-Jun-12
NEPSE,377,,377,377,377,0,,28-Jun-12
NEPSE,375,,375,375,375,0,,01-Jul-12
NEPSE,373,,373,373,373,0,,02-Jul-12
NEPSE,374,,374,374,374,0,,03-Jul-12
NEPSE,377,,377,377,377,0,,04-Jul-12
NEPSE,377,,377,377,377,0,,05-Jul-12
NEPSE,378,,378,378,378,0,,08-Jul-12
NEPSE,380,,380,380,380,0,,09-Jul-12
NEPSE,385,,385,385,385,0,,10-Jul-12
NEPSE,384,,384,384,384,0,,11-Jul-12
NEPSE,383,,383,383,383,0,,12-Jul-12
NEPSE,390,,390,390,390,0,,15-Jul-12
NEPSE,385,,385,385,385,0,,16-Jul-12
NEPSE,386,,386,386,386,0,,17-Jul-12
NEPSE,392,,392,392,392,0,,18-Jul-12
NEPSE,395,,395,395,395,0,,19-Jul-12
NEPSE,405,,405,405,405,0,,22-Jul-12
NEPSE,408,,408,408,408,0,,23-Jul-12
NEPSE,406,,406,406,406,0,,24-Jul-12
NEPSE,405,,405,405,405,0,,25-Jul-12
NEPSE,402,,402,402,402,0,,26-Jul-12
NEPSE,396,,396,396,396,0,,29-Jul-12
NEPSE,401,,401,401,401,0,,30-Jul-12
NEPSE,401,,401,401,401,0,,31-Jul-12
NEPSE,402,,402,402,402,0,,01-Aug-12
NEPSE,403,,403,403,403,0,,05-Aug-12
NEPSE,403,,403,403,403,0,,06-Aug-12
NEPSE,404,,404,404,404,0,,07-Aug-12
NEPSE,402,,402,402,402,0,,08-Aug-12
NEPSE,399,,399,399,399,0,,12-Aug-12
NEPSE,400,,400,400,400,0,,13-Aug-12
NEPSE,397,,397,397,397,0,,14-Aug-12
NEPSE,392,,392,392,392,0,,15-Aug-12
NEPSE,398,,398,398,398,0,,16-Aug-12
NEPSE,396,,396,396,396,0,,19-Aug-12
NEPSE,396,,396,396,396,0,,21-Aug-12
NEPSE,397,,397,397,397,0,,22-Aug-12
NEPSE,398,,398,398,398,0,,23-Aug-12
NEPSE,397,,397,397,397,0,,26-Aug-12
NEPSE,406,,406,406,406,0,,27-Aug-12
NEPSE,406,,406,406,406,0,,28-Aug-12
NEPSE,407,,407,407,407,0,,29-Aug-12
NEPSE,406,,406,406,406,0,,30-Aug-12
NEPSE,412,,412,412,412,0,,02-Sep-12
NEPSE,412,,412,412,412,0,,03-Sep-12
NEPSE,409,,409,409,409,0,,04-Sep-12
NEPSE,407,,407,407,407,0,,05-Sep-12
NEPSE,408,,408,408,408,0,,06-Sep-12
NEPSE,408,,408,408,408,0,,09-Sep-12
NEPSE,408,,408,408,408,0,,10-Sep-12
NEPSE,412,,412,412,412,0,,11-Sep-12
NEPSE,414,,414,414,414,0,,12-Sep-12
NEPSE,419,,419,419,419,0,,13-Sep-12
NEPSE,421,,421,421,421,0,,16-Sep-12
NEPSE,422,,422,422,422,0,,17-Sep-12
NEPSE,425,,425,425,425,0,,18-Sep-12
NEPSE,422,,422,422,422,0,,19-Sep-12
NEPSE,420,,420,420,420,0,,20-Sep-12
NEPSE,415,,415,415,415,0,,23-Sep-12
NEPSE,415,,415,415,415,0,,24-Sep-12
NEPSE,414,,414,414,414,0,,25-Sep-12
NEPSE,414,,414,414,414,0,,26-Sep-12
NEPSE,415,,415,415,415,0,,30-Sep-12
NEPSE,417,,417,417,417,0,,01-Oct-12
NEPSE,417,,417,417,417,0,,02-Oct-12
NEPSE,417,,417,417,417,0,,03-Oct-12
NEPSE,424,,424,424,424,0,,04-Oct-12
NEPSE,428,,428,428,428,0,,07-Oct-12
NEPSE,427,,427,427,427,0,,08-Oct-12
NEPSE,426,,426,426,426,0,,09-Oct-12
NEPSE,425,,425,425,425,0,,10-Oct-12
NEPSE,424,,424,424,424,0,,11-Oct-12
NEPSE,427,,427,427,427,0,,14-Oct-12
NEPSE,427,,427,427,427,0,,15-Oct-12
NEPSE,433,,433,433,433,0,,17-Oct-12
NEPSE,437,,437,437,437,0,,18-Oct-12
NEPSE,448,,448,448,448,0,,30-Oct-12
NEPSE,451,,451,451,451,0,,31-Oct-12
NEPSE,448,,448,448,448,0,,01-Nov-12
NEPSE,452,,452,452,452,0,,04-Nov-12
NEPSE,458,,458,458,458,0,,05-Nov-12
NEPSE,463,,463,463,463,0,,06-Nov-12
NEPSE,475,,475,475,475,0,,07-Nov-12
NEPSE,483,,483,483,483,0,,08-Nov-12
NEPSE,475,,475,475,475,0,,11-Nov-12
NEPSE,481,,481,481,481,0,,12-Nov-12
NEPSE,493,,493,493,493,0,,18-Nov-12
NEPSE,502,,502,502,502,0,,20-Nov-12
NEPSE,499,,499,499,499,0,,21-Nov-12
NEPSE,497,,497,497,497,0,,22-Nov-12
NEPSE,497,,497,497,497,0,,25-Nov-12
NEPSE,495,,495,495,495,0,,26-Nov-12
NEPSE,493,,493,493,493,0,,27-Nov-12
NEPSE,493,,493,493,493,0,,28-Nov-12
NEPSE,489,,489,489,489,0,,29-Nov-12
NEPSE,484,,484,484,484,0,,02-Dec-12
NEPSE,482,,482,482,482,0,,03-Dec-12
NEPSE,490,,490,490,490,0,,04-Dec-12
NEPSE,500,,500,500,500,0,,05-Dec-12
NEPSE,498,,498,498,498,0,,06-Dec-12
NEPSE,488,,488,488,488,0,,09-Dec-12
NEPSE,488,,488,488,488,0,,10-Dec-12
NEPSE,489,,489,489,489,0,,11-Dec-12
NEPSE,493,,493,493,493,0,,12-Dec-12
NEPSE,497,,497,497,497,0,,13-Dec-12
NEPSE,509,,509,509,509,0,,16-Dec-12
NEPSE,513,,513,513,513,0,,17-Dec-12
NEPSE,510,,510,510,510,0,,18-Dec-12
NEPSE,514,,514,514,514,0,,19-Dec-12
NEPSE,518,,518,518,518,0,,20-Dec-12
NEPSE,520,,520,520,520,0,,23-Dec-12
NEPSE,526,,526,526,526,0,,24-Dec-12
NEPSE,537,,537,537,537,0,,26-Dec-12
NEPSE,541,,541,541,541,0,,27-Dec-12
NEPSE,534,,534,534,534,0,,31-Dec-12
NEPSE,531,,531,531,531,0,,01-Jan-13
NEPSE,532,,532,532,532,0,,02-Jan-13
NEPSE,534,,534,534,534,0,,03-Jan-13
NEPSE,532,,532,532,532,0,,06-Jan-13
NEPSE,529,,529,529,529,0,,07-Jan-13
NEPSE,529,,529,529,529,0,,08-Jan-13
NEPSE,525,,525,525,525,0,,09-Jan-13
NEPSE,529,,529,529,529,0,,10-Jan-13
NEPSE,530,,530,530,530,0,,13-Jan-13
NEPSE,530,,530,530,530,0,,15-Jan-13
NEPSE,528,,528,528,528,0,,16-Jan-13
NEPSE,521,,521,521,521,0,,17-Jan-13
NEPSE,508,,508,508,508,0,,20-Jan-13
NEPSE,518,,518,518,518,0,,21-Jan-13
NEPSE,523,,523,523,523,0,,22-Jan-13
NEPSE,517,,517,517,517,0,,23-Jan-13
NEPSE,514,,514,514,514,0,,24-Jan-13
NEPSE,514,,514,514,514,0,,27-Jan-13
NEPSE,514,,514,514,514,0,,28-Jan-13
NEPSE,512,,512,512,512,0,,30-Jan-13
NEPSE,511,,511,511,511,0,,31-Jan-13
NEPSE,516,,516,516,516,0,,03-Feb-13
NEPSE,517,,517,517,517,0,,04-Feb-13
NEPSE,515,,515,515,515,0,,05-Feb-13
NEPSE,513,,513,513,513,0,,06-Feb-13
NEPSE,513,,513,513,513,0,,07-Feb-13
NEPSE,515,,515,515,515,0,,10-Feb-13
NEPSE,533,,533,533,533,0,,12-Feb-13
NEPSE,527,,527,527,527,0,,13-Feb-13
NEPSE,530,,530,530,530,0,,14-Feb-13
NEPSE,556,,556,556,556,0,,17-Feb-13
NEPSE,549,,549,549,549,0,,19-Feb-13
NEPSE,539,,539,539,539,0,,20-Feb-13
NEPSE,544,,544,544,544,0,,21-Feb-13
NEPSE,539,,539,539,539,0,,24-Feb-13
NEPSE,544,,544,544,544,0,,25-Feb-13
NEPSE,546,,546,546,546,0,,26-Feb-13
NEPSE,540,,540,540,540,0,,27-Feb-13
NEPSE,542,,542,542,542,0,,28-Feb-13
NEPSE,542,,542,542,542,0,,03-Mar-13
NEPSE,541,,541,541,541,0,,04-Mar-13
NEPSE,538,,538,538,538,0,,05-Mar-13
NEPSE,541,,541,541,541,0,,06-Mar-13
NEPSE,539,,539,539,539,0,,07-Mar-13
NEPSE,540,,540,540,540,0,,11-Mar-13
